genre,text,clique_id,v,e,index,n_sentences
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,8,0.14285714285714285,0.002380952380952381,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,9,0.15384615384615385,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryFrance-hepple_clean.xml,10,0.125,0.004608294930875576,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,2,0,0.007407407407407408,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,3,0.25,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,4,0.4444444444444444,0.005714285714285714,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,5,0.25,0.003968253968253968,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,6,0.2,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,7,0.2,0.002232142857142857,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,8,0.17647058823529413,0.003401360544217687,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,9,0.14285714285714285,0.004273504273504274,global,10
berlitz,data/oanc_xml/berlitz_HistoryGreek-hepple_clean.xml,10,0.16666666666666666,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,2,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,3,0.05263157894736842,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,4,0.0625,0.0036036036036036037,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,5,0.21428571428571427,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,6,0.5,0.004166666666666667,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,7,0.5,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,8,0,0.004166666666666667,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,9,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHawaii-hepple_clean.xml,10,0.2,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,1,0,0,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,2,0.2857142857142857,0.03333333333333333,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,3,0.23076923076923078,0.00625,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,4,0.2,0.004629629629629629,global,10
berlitz,data/oanc_xml/berlitz_HistoryHongKong-hepple_clean.xml,5,0,0,global,10
