genre,text,index,type,value
icic,data/oanc_xml/icic_105CWL039-hepple_clean.xml,global,v,0.3288858363858364
icic,data/oanc_xml/icic_105CWL039-hepple_clean.xml,global,e,0.0020571824715805358
icic,data/oanc_xml/icic_105CWL039-hepple_clean.xml,local,v,0.09759259259259259
icic,data/oanc_xml/icic_105CWL039-hepple_clean.xml,local,e,0.0013212977498691784
icic,data/oanc_xml/icic_105CWL039-hepple_clean.xml,pairwise,v,0.10664777021919879
icic,data/oanc_xml/icic_105CWL039-hepple_clean.xml,pairwise,e,0.003221852473553154
icic,data/oanc_xml/icic_105CWL061-hepple_clean.xml,global,v,0.23523133729016082
icic,data/oanc_xml/icic_105CWL061-hepple_clean.xml,global,e,0.002238803649762554
icic,data/oanc_xml/icic_105CWL061-hepple_clean.xml,local,v,0.11166490372372725
icic,data/oanc_xml/icic_105CWL061-hepple_clean.xml,local,e,0.003926767676767677
icic,data/oanc_xml/icic_105CWL061-hepple_clean.xml,pairwise,v,0.09771984007278126
icic,data/oanc_xml/icic_105CWL061-hepple_clean.xml,pairwise,e,0.007719055635722303
icic,data/oanc_xml/icic_105CWL062-hepple_clean.xml,global,v,0.2777634839360845
icic,data/oanc_xml/icic_105CWL062-hepple_clean.xml,global,e,0.0026608515523609865
icic,data/oanc_xml/icic_105CWL062-hepple_clean.xml,local,v,0.17242820711280463
icic,data/oanc_xml/icic_105CWL062-hepple_clean.xml,local,e,0.00395698051948052
icic,data/oanc_xml/icic_105CWL062-hepple_clean.xml,pairwise,v,0.1643134342437748
icic,data/oanc_xml/icic_105CWL062-hepple_clean.xml,pairwise,e,0.002578675701049651
icic,data/oanc_xml/icic_105Cwl040-hepple_clean.xml,global,v,0.14205128205128206
icic,data/oanc_xml/icic_105Cwl040-hepple_clean.xml,global,e,0.0016308611826274253
icic,data/oanc_xml/icic_105Cwl040-hepple_clean.xml,local,v,0.06435897435897436
icic,data/oanc_xml/icic_105Cwl040-hepple_clean.xml,local,e,0.0018181818181818182
icic,data/oanc_xml/icic_105Cwl040-hepple_clean.xml,pairwise,v,0.05663903997237331
icic,data/oanc_xml/icic_105Cwl040-hepple_clean.xml,pairwise,e,0.0018947053914374176
media,data/oanc_xml/media_5_Legal_Groups-hepple_clean.xml,global,v,0.362339345631772
media,data/oanc_xml/media_5_Legal_Groups-hepple_clean.xml,global,e,0.0019790070839810882
media,data/oanc_xml/media_5_Legal_Groups-hepple_clean.xml,local,v,0.1211957767182171
media,data/oanc_xml/media_5_Legal_Groups-hepple_clean.xml,local,e,0.0011826600776444036
media,data/oanc_xml/media_5_Legal_Groups-hepple_clean.xml,pairwise,v,0.07479095664829986
media,data/oanc_xml/media_5_Legal_Groups-hepple_clean.xml,pairwise,e,0.002424320582816215
media,data/oanc_xml/media_A_Perk_of_Age-hepple_clean.xml,global,v,0.2830670758542786
media,data/oanc_xml/media_A_Perk_of_Age-hepple_clean.xml,global,e,0.001373413288791668
media,data/oanc_xml/media_A_Perk_of_Age-hepple_clean.xml,local,v,0.04599367769637723
media,data/oanc_xml/media_A_Perk_of_Age-hepple_clean.xml,local,e,0.0012616173598182594
media,data/oanc_xml/media_A_Perk_of_Age-hepple_clean.xml,pairwise,v,0.04904729202549151
media,data/oanc_xml/media_A_Perk_of_Age-hepple_clean.xml,pairwise,e,0.004409472705757972
media,data/oanc_xml/media_A_helping_hand-hepple_clean.xml,global,v,0.4765292389324897
media,data/oanc_xml/media_A_helping_hand-hepple_clean.xml,global,e,0.002134353131701213
media,data/oanc_xml/media_A_helping_hand-hepple_clean.xml,local,v,0.10309984655959888
media,data/oanc_xml/media_A_helping_hand-hepple_clean.xml,local,e,0.004216798288489465
media,data/oanc_xml/media_A_helping_hand-hepple_clean.xml,pairwise,v,0.06393487696023852
media,data/oanc_xml/media_A_helping_hand-hepple_clean.xml,pairwise,e,0.005853592885940102
media,data/oanc_xml/media_Abuse_penalties-hepple_clean.xml,global,v,0.5053228956618222
media,data/oanc_xml/media_Abuse_penalties-hepple_clean.xml,global,e,0.0020477013469228514
media,data/oanc_xml/media_Abuse_penalties-hepple_clean.xml,local,v,0.16748007350025113
media,data/oanc_xml/media_Abuse_penalties-hepple_clean.xml,local,e,0.002373698970416807
media,data/oanc_xml/media_Abuse_penalties-hepple_clean.xml,pairwise,v,0.08741424560467012
media,data/oanc_xml/media_Abuse_penalties-hepple_clean.xml,pairwise,e,0.003564420438639813
media,data/oanc_xml/media_Advocate_for_Poor-hepple_clean.xml,global,v,0.3939572300053244
media,data/oanc_xml/media_Advocate_for_Poor-hepple_clean.xml,global,e,0.0031541398248836543
media,data/oanc_xml/media_Advocate_for_Poor-hepple_clean.xml,local,v,0.10014430014430015
media,data/oanc_xml/media_Advocate_for_Poor-hepple_clean.xml,local,e,0.009630275132359254
media,data/oanc_xml/media_Advocate_for_Poor-hepple_clean.xml,pairwise,v,0.06406031815676617
media,data/oanc_xml/media_Advocate_for_Poor-hepple_clean.xml,pairwise,e,0.007036867164718017
media,data/oanc_xml/media_Aid_Gets_7_Million-hepple_clean.xml,global,v,0.4165881725200611
media,data/oanc_xml/media_Aid_Gets_7_Million-hepple_clean.xml,global,e,0.002473487337563876
media,data/oanc_xml/media_Aid_Gets_7_Million-hepple_clean.xml,local,v,0.10063387615709597
media,data/oanc_xml/media_Aid_Gets_7_Million-hepple_clean.xml,local,e,0.0026257236227824462
media,data/oanc_xml/media_Aid_Gets_7_Million-hepple_clean.xml,pairwise,v,0.07075129989835872
media,data/oanc_xml/media_Aid_Gets_7_Million-hepple_clean.xml,pairwise,e,0.0035272302296494723
media,data/oanc_xml/media_All_May_Have_Justice-hepple_clean.xml,global,v,0.4241180150954587
media,data/oanc_xml/media_All_May_Have_Justice-hepple_clean.xml,global,e,0.002016449602978769
media,data/oanc_xml/media_All_May_Have_Justice-hepple_clean.xml,local,v,0.09612071303800628
media,data/oanc_xml/media_All_May_Have_Justice-hepple_clean.xml,local,e,0.003970454169481149
media,data/oanc_xml/media_All_May_Have_Justice-hepple_clean.xml,pairwise,v,0.07438945487817668
media,data/oanc_xml/media_All_May_Have_Justice-hepple_clean.xml,pairwise,e,0.0029449718477428414
media,data/oanc_xml/media_Annual_Fee-hepple_clean.xml,global,v,0.4399895830502238
media,data/oanc_xml/media_Annual_Fee-hepple_clean.xml,global,e,0.003037314220973164
media,data/oanc_xml/media_Annual_Fee-hepple_clean.xml,local,v,0.1451665132900831
media,data/oanc_xml/media_Annual_Fee-hepple_clean.xml,local,e,0.0024589091547247807
media,data/oanc_xml/media_Annual_Fee-hepple_clean.xml,pairwise,v,0.11486476405457705
media,data/oanc_xml/media_Annual_Fee-hepple_clean.xml,pairwise,e,0.0028074490861897737
